Devices
1000
,,Force Plate 1 - Force,,,Force Plate 1 - Moment,,,Force Plate 1 - CoP,,,Force Plate 2 - Force,,,Force Plate 2 - Moment,,,Force Plate 2 - CoP,,,Force Plate 3 - Force,,,Force Plate 3 - Moment,,,Force Plate 3 - CoP,,,Force Plate 4 - Force,,,Force Plate 4 - Moment,,,Force Plate 4 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
2,9,-6.53194,-5.52512,-30.7618,-2011.72,-9922.06,2246.86,-22.5453,-139.603,0,-4.56611,8.4002,-30.2281,-213.931,-8591.78,-2225.32,15.7679,207.077,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
3,0,-6.33278,-5.51739,-30.9258,-1960.07,-9920.28,2272.93,-20.7769,-141.62,0,-4.52314,8.44217,-30.5502,-232.522,-8471.45,-2199.25,22.7038,207.611,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
3,1,-6.44178,-5.41601,-31.1258,-1934.12,-9909.31,2292.81,-18.3634,-142.861,0,-4.43004,8.49844,-30.5324,-198.889,-8468.25,-2211.03,22.647,206.514,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
3,2,-6.60524,-5.43303,-31.0743,-1963.51,-9892.81,2266.9,-18.3601,-141.812,0,-4.61045,8.53626,-30.5299,-164.492,-8481.99,-2220.69,22.1741,205.388,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
3,3,-6.54132,-5.40436,-31.1453,-1972.66,-9966.48,2252.95,-19.9991,-141.663,0,-4.64417,8.69501,-30.8676,-170.751,-8484.23,-2224.97,25.1414,205.532,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
3,4,-6.47849,-5.42424,-31.0497,-2003.9,-10018.9,2279.47,-22.6733,-140.461,0,-4.53142,8.59795,-30.7593,-197.414,-8506.14,-2225.19,23.4613,206.418,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
3,5,-6.45333,-5.51932,-31.016,-2020.63,-9861.56,2277.83,-17.951,-139.852,0,-4.63033,8.3488,-30.3755,-191.084,-8517.86,-2211.25,19.5816,206.291,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
3,6,-6.3703,-5.44899,-31.0722,-1989.35,-9794.31,2294.91,-15.2112,-140.977,0,-4.62737,8.43766,-30.344,-171.026,-8491.6,-2232.91,20.1552,205.636,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
3,7,-6.4233,-5.33389,-30.7283,-2004.51,-9947.02,2307.86,-23.7084,-139.767,0,-4.54663,8.56465,-30.3805,-188.464,-8562.34,-2241.04,18.1632,206.203,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
3,8,-6.70186,-5.39673,-30.6995,-2042.8,-9958.55,2250.02,-24.3877,-138.458,0,-4.4977,8.45867,-30.4262,-209.425,-8595.85,-2228.24,17.4856,206.883,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
3,9,-6.68011,-5.54664,-30.6672,-2033.73,-9871.3,2206.5,-21.8847,-138.684,0,-4.39366,8.38043,-30.6543,-196.763,-8501.72,-2252.62,22.6585,206.419,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
4,0,-6.45485,-5.50379,-30.4071,-2001.19,-9888.95,2240.05,-25.2187,-139.187,0,-4.36755,8.37381,-30.3898,-161.725,-8567.13,-2267.6,18.0917,205.322,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
4,1,-6.50948,-5.47336,-30.9801,-1973.06,-9914.69,2280.3,-20.0345,-141.312,0,-4.44801,8.45514,-30.2366,-171.87,-8539.48,-2250.07,17.5784,205.684,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
4,2,-6.57035,-5.55364,-31.1975,-1983.51,-9833.31,2247.05,-15.1953,-141.421,0,-4.59426,8.57071,-30.8338,-217.235,-8368.76,-2217.53,28.5851,207.045,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
4,3,-6.44854,-5.42572,-30.4851,-2014.35,-9864.84,2231.94,-23.5955,-138.924,0,-4.65185,8.56537,-30.9744,-201.669,-8466.33,-2210.43,26.6665,206.511,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
4,4,-6.40343,-5.30635,-30.5107,-1997.04,-10003.5,2273.3,-27.8685,-139.546,0,-4.55804,8.53656,-30.6256,-166.83,-8576.18,-2240.57,19.9669,205.447,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
4,5,-6.50709,-5.38275,-31.0768,-2003.13,-9919.29,2266.35,-19.1861,-140.542,0,-4.48996,8.54949,-30.4424,-177.013,-8539.19,-2245.33,19.497,205.815,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
4,6,-6.48906,-5.42289,-31.2174,-2033.38,-9811,2258.42,-14.2798,-139.864,0,-4.42783,8.55972,-30.3448,-151.457,-8557.9,-2225.01,17.9784,204.991,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
4,7,-6.48314,-5.35108,-31.1028,-1961.99,-9892.15,2296.03,-18.0467,-141.919,0,-4.36607,8.53889,-30.5281,-133.053,-8536.82,-2222.11,20.3622,204.358,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
4,8,-6.64374,-5.31106,-30.8335,-1922.41,-9919.84,2303.75,-21.7232,-142.652,0,-4.45134,8.49901,-30.7996,-171.66,-8506.58,-2242.47,23.8085,205.573,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
4,9,-6.61165,-5.32947,-30.9717,-1969.59,-9899.72,2265.89,-19.6375,-141.407,0,-4.52527,8.42648,-30.7484,-167.462,-8579.25,-2245.34,20.9851,205.446,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
5,0,-6.48034,-5.27633,-31.3451,-1982.5,-10013.7,2249.79,-19.4662,-141.752,0,-4.49268,8.39607,-30.5126,-179.828,-8602.66,-2226.55,18.0627,205.894,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
5,1,-6.48963,-5.33157,-30.9791,-2021.49,-10030.9,2267.94,-23.7939,-139.747,0,-4.48639,8.48731,-30.4632,-198.676,-8535.43,-2245.56,19.812,206.522,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
5,2,-6.55119,-5.55147,-30.7223,-2031.26,-9894.26,2261.98,-22.0544,-138.883,0,-4.43471,8.5282,-30.6989,-162.543,-8485.85,-2241.53,23.5784,205.295,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
5,3,-6.57283,-5.50199,-30.8215,-1970.2,-9900.02,2245.5,-21.2047,-141.077,0,-4.47504,8.47657,-30.774,-162.031,-8482.87,-2191.19,24.3495,205.265,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
5,4,-6.53428,-5.3196,-30.9666,-1955.01,-9973.03,2231.05,-22.0577,-141.867,0,-4.65261,8.46426,-30.551,-181.695,-8500.86,-2204.71,21.749,205.947,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
5,5,-6.54549,-5.42011,-31.3526,-1998.82,-9953.44,2221.18,-17.4672,-141.247,0,-4.60949,8.50122,-30.6865,-198.859,-8523.46,-2237.36,22.2412,206.48,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
5,6,-6.61136,-5.4708,-31.0951,-2028.07,-9936.78,2252.71,-19.5606,-139.778,0,-4.53165,8.49682,-30.9572,-213.274,-8570.98,-2221.7,23.1348,206.889,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
5,7,-6.55784,-5.35356,-30.6613,-1966.67,-9954.03,2286.25,-24.6447,-140.858,0,-4.6524,8.42656,-30.5908,-205.155,-8583.18,-2230.06,19.42,206.706,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
5,8,-6.43934,-5.33425,-30.7994,-1926.04,-9946.71,2278.29,-22.9514,-142.465,0,-4.66827,8.46101,-30.4481,-211.718,-8506.65,-2256.86,20.6176,206.953,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
5,9,-6.49324,-5.36503,-30.9719,-1979.94,-9945.46,2254.08,-21.1123,-141.073,0,-4.53471,8.56597,-30.6269,-219.416,-8473.1,-2212.06,23.3445,207.164,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
6,0,-6.56444,-5.40016,-31.1504,-2007.83,-9960.02,2277.07,-19.7401,-140.544,0,-4.39897,8.47371,-30.5939,-183.229,-8568.19,-2189.2,19.9376,205.989,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
6,1,-6.57125,-5.43112,-31.1894,-1984.35,-9941.28,2326.71,-18.7392,-141.377,0,-4.45718,8.35384,-30.7826,-152.011,-8616.44,-2243.8,20.0871,204.938,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
6,2,-6.54738,-5.44165,-31.0939,-1976.19,-9948.73,2292.14,-19.9579,-141.444,0,-4.65089,8.39233,-30.5978,-178.666,-8547.95,-2238.08,20.6348,205.839,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
6,3,-6.37321,-5.42839,-31.1544,-1999.08,-9974.47,2238.96,-20.1623,-140.833,0,-4.58719,8.43161,-30.3402,-180.523,-8531.89,-2221.27,18.7925,205.95,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
6,4,-6.32478,-5.40168,-31.0964,-1982.79,-9943.46,2266.93,-19.7622,-141.237,0,-4.52521,8.50366,-30.5723,-181.238,-8570.33,-2231.04,19.6702,205.928,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
6,5,-6.52949,-5.39272,-30.96,-1945.43,-9953.88,2287.98,-21.5078,-142.163,0,-4.63114,8.56416,-30.5042,-227.686,-8561.77,-2215.42,19.3246,207.464,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
6,6,-6.51186,-5.4089,-30.8318,-1954.23,-9960.97,2263,-23.074,-141.617,0,-4.50236,8.53226,-30.2102,-179.992,-8562.01,-2226.78,16.5855,205.958,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
6,7,-6.31835,-5.47605,-30.8098,-1985.27,-9930.93,2247.32,-22.3308,-140.564,0,-4.35216,8.49714,-30.0963,-153.176,-8592.21,-2225.23,14.5095,205.09,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
6,8,-6.56864,-5.56183,-31.1421,-2020.1,-9986.04,2287.41,-20.6603,-140.133,0,-4.46502,8.42846,-30.4427,-210.406,-8546.51,-2200.83,19.2594,206.912,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
6,9,-6.78774,-5.57393,-30.9543,-2019.28,-9930.17,2331.23,-20.801,-139.766,0,-4.50585,8.3834,-30.6851,-158.686,-8523.3,-2198.59,22.2336,205.171,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
7,0,-6.49056,-5.39634,-30.4625,-1978.8,-9809.96,2270.4,-22.0338,-140.042,0,-4.46155,8.38875,-30.2093,-130.075,-8579.28,-2202.06,16.0052,204.306,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
7,1,-6.39481,-5.18745,-30.8476,-1947.71,-9916.25,2207.01,-21.4594,-141.86,0,-4.64551,8.41429,-30.135,-189.054,-8560.47,-2238.8,15.9294,206.274,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
7,2,-6.5948,-5.22964,-31.1261,-1959.49,-10024.8,2255.7,-22.0714,-142.047,0,-4.74843,8.46879,-30.6473,-218.168,-8567.87,-2259.13,20.4369,207.119,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
7,3,-6.54595,-5.44052,-30.9359,-1992.42,-9970.95,2286.5,-22.3103,-140.595,0,-4.58626,8.45007,-30.6354,-235.04,-8639.11,-2211.94,18.0026,207.672,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
7,4,-6.40445,-5.57465,-31.1664,-1980.61,-9877.99,2234.68,-16.943,-141.451,0,-4.52329,8.38821,-30.1539,-181.504,-8607.96,-2199.81,14.5326,206.019,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
7,5,-6.53376,-5.53285,-31.1373,-1971.65,-9827.9,2236.4,-15.6312,-141.679,0,-4.44022,8.37312,-30.1837,-147.721,-8558.55,-2237.67,16.4508,204.894,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
7,6,-6.68261,-5.45131,-30.9245,-1985.39,-9899.33,2272.84,-20.1133,-140.799,0,-4.32387,8.37278,-30.584,-203.041,-8604.69,-2241.59,18.654,206.639,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
7,7,-6.59915,-5.41178,-30.9891,-1958.36,-9941.39,2251.7,-20.8024,-141.805,0,-4.4377,8.38292,-30.528,-179.052,-8608.59,-2218.38,18.0104,205.865,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
7,8,-6.44493,-5.38196,-30.8108,-1977.86,-9876.46,2260.6,-20.5519,-140.806,0,-4.60183,8.48394,-30.4206,-154.536,-8558.23,-2201.46,18.6699,205.08,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
7,9,-6.422,-5.36926,-30.9885,-2043.07,-9889.47,2279.07,-19.1332,-139.07,0,-4.6365,8.57757,-30.5986,-204.459,-8551.62,-2202.23,20.523,206.682,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
8,0,-6.49327,-5.39194,-30.8916,-1998.56,-9964.37,2267.19,-22.5589,-140.304,0,-4.50486,8.52523,-30.6564,-193.532,-8480.31,-2235.45,23.3752,206.313,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
8,1,-6.49343,-5.49507,-30.2898,-1955.47,-9966.94,2293.75,-29.0531,-140.441,0,-4.48643,8.47346,-30.6494,-179.83,-8446.07,-2263.02,24.4296,205.867,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
8,2,-6.54261,-5.54208,-30.8921,-1991.15,-9877.79,2290.14,-19.7513,-140.545,0,-4.64383,8.47346,-30.5849,-215.877,-8529.46,-2229.4,21.122,207.058,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
8,3,-6.56539,-5.48318,-31.5275,-2002.64,-9902.75,2252.73,-14.0985,-141.48,0,-4.56727,8.4247,-30.3571,-190.808,-8535.17,-2195.04,18.8413,206.285,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
8,4,-6.46808,-5.46607,-31.0012,-1994.28,-9991.31,2280.51,-22.2874,-140.671,0,-4.4821,8.44815,-30.5177,-165.731,-8561.25,-2232.16,19.4656,205.431,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
8,5,-6.53211,-5.36692,-30.6604,-1960.83,-9847.96,2288.74,-21.1943,-141.047,0,-4.57704,8.57468,-30.7118,-196.858,-8614.65,-2275.44,19.5005,206.41,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
8,6,-6.56247,-5.24733,-30.8214,-1985.16,-9805.92,2243.34,-18.1532,-140.591,0,-4.63939,8.49299,-30.4073,-186.732,-8553.1,-2256.38,18.7152,206.141,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
8,7,-6.46664,-5.40868,-31.0339,-2033.86,-9964.18,2261.35,-21.0746,-139.463,0,-4.62085,8.33487,-30.2847,-164.223,-8504.68,-2200.75,19.1763,205.423,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
8,8,-6.61987,-5.51448,-31.1553,-1986.65,-9956.48,2307.77,-19.576,-141.234,0,-4.48866,8.47625,-30.3182,-197.753,-8487.46,-2204.52,20.0537,206.523,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
8,9,-6.79534,-5.36866,-31.068,-1956.45,-9887.83,2314.01,-18.2643,-142.027,0,-4.50868,8.55562,-30.6324,-230.172,-8504.03,-2250.5,22.3848,207.514,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
9,0,-6.65147,-5.36751,-31.0322,-1960.48,-9861.95,2290.49,-17.7968,-141.824,0,-4.67867,8.39999,-30.989,-187.152,-8559.33,-2209.96,23.7948,206.039,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
9,1,-6.44892,-5.39114,-30.9822,-1964.21,-9881.4,2238.07,-18.9382,-141.602,0,-4.63844,8.39461,-30.4469,-182.849,-8534.08,-2174.7,19.7063,206.005,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
9,2,-6.49087,-5.33744,-30.7739,-1985.79,-9965.65,2234.88,-23.8349,-140.471,0,-4.54856,8.51992,-30.1443,-246.267,-8527.78,-2245,17.1017,208.17,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
9,3,-6.61125,-5.40971,-30.6772,-2002.26,-9952.74,2287.54,-24.4343,-139.731,0,-4.56102,8.54992,-30.6586,-225.548,-8559.45,-2272.67,20.814,207.357,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
9,4,-6.47699,-5.47094,-30.6836,-1998.93,-9832.22,2293,-20.4387,-139.853,0,-4.5906,8.4163,-30.7028,-239.67,-8516.65,-2224.97,22.6098,207.806,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
